Date,Price,Open,High,Low,Vol.,Change %
06/14/2021,3138.0,3150.0,3150.0,3113.0,50040000.0,0.00%
06/11/2021,3138.0,3138.0,3150.0,3113.0,77760000.0,1.21%
06/10/2021,3100.0,3088.0,3125.0,3063.0,43540000.0,0.81%
06/09/2021,3075.0,3038.0,3088.0,3000.0,47080000.0,2.50%
06/08/2021,3000.0,3075.0,3075.0,3000.0,57080000.0,-2.04%
06/07/2021,3063.0,3100.0,3100.0,3038.0,42510000.0,0.00%
06/04/2021,3063.0,3125.0,3163.0,3063.0,76310000.0,-2.00%
06/03/2021,3125.0,3088.0,3138.0,3063.0,86430000.0,2.46%
06/02/2021,3050.0,3075.0,3100.0,3038.0,157340000.0,1.67%
05/31/2021,3000.0,2938.0,3050.0,2913.0,96660000.0,3.45%
05/28/2021,2900.0,2913.0,2950.0,2888.0,78310000.0,0.87%
05/27/2021,2875.0,3000.0,3000.0,2875.0,353890000.0,-2.54%
05/25/2021,2950.0,2888.0,2975.0,2888.0,90590000.0,2.61%
05/24/2021,2875.0,2938.0,2938.0,2875.0,54900000.0,-1.29%
05/21/2021,2913.0,2863.0,2950.0,2838.0,140450000.0,3.10%
05/20/2021,2825.0,2825.0,2875.0,2800.0,69610000.0,-0.44%
05/19/2021,2838.0,2900.0,2925.0,2813.0,98440000.0,-3.81%
05/18/2021,2950.0,2988.0,3000.0,2913.0,73970000.0,-0.42%
05/17/2021,2963.0,2988.0,3000.0,2938.0,95100000.0,0.42%
05/11/2021,2950.0,3000.0,3000.0,2925.0,69380000.0,-1.26%
05/10/2021,2988.0,3013.0,3013.0,2975.0,35480000.0,0.42%
05/07/2021,2975.0,3063.0,3063.0,2975.0,65330000.0,-2.06%
05/06/2021,3038.0,3063.0,3063.0,3013.0,37090000.0,0.41%
05/05/2021,3025.0,3075.0,3075.0,3025.0,45850000.0,-0.82%
05/04/2021,3050.0,3025.0,3050.0,2988.0,56360000.0,0.83%
05/03/2021,3025.0,3050.0,3075.0,3000.0,65330000.0,-2.02%
04/30/2021,3088.0,3113.0,3125.0,3063.0,69940000.0,-0.80%
04/29/2021,3113.0,3113.0,3138.0,3075.0,82870000.0,0.40%
04/28/2021,3100.0,3050.0,3138.0,3050.0,161160000.0,2.48%
04/27/2021,3025.0,2988.0,3038.0,2975.0,96850000.0,1.26%
04/26/2021,2988.0,3050.0,3063.0,2975.0,115310000.0,-2.85%
04/23/2021,3075.0,3025.0,3075.0,3013.0,104930000.0,0.41%
04/22/2021,3063.0,3088.0,3113.0,3050.0,71450000.0,0.00%
04/21/2021,3063.0,3075.0,3088.0,3063.0,65430000.00000001,-1.21%
04/20/2021,3100.0,3100.0,3125.0,3088.0,63880000.0,-0.40%
04/19/2021,3113.0,3125.0,3138.0,3100.0,43600000.0,-1.19%
04/16/2021,3150.0,3175.0,3175.0,3125.0,63190000.0,0.00%
04/15/2021,3150.0,3200.0,3200.0,3113.0,68340000.0,-0.40%
04/14/2021,3163.0,3175.0,3200.0,3125.0,80910000.0,0.40%
04/13/2021,3150.0,3100.0,3175.0,3100.0,76330000.0,0.00%
04/12/2021,3150.0,3213.0,3250.0,3138.0,48430000.0,-2.70%
04/09/2021,3238.0,3188.0,3275.0,3163.0,126420000.0,3.19%
04/08/2021,3138.0,3125.0,3188.0,3100.0,88450000.0,-0.79%
04/07/2021,3163.0,3150.0,3163.0,3125.0,46420000.0,0.80%
04/06/2021,3138.0,3113.0,3150.0,3075.0,29650000.0,0.80%
04/05/2021,3113.0,3150.0,3150.0,3100.0,39470000.0,0.40%
04/01/2021,3100.0,3125.0,3163.0,3075.0,77720000.0,0.81%
03/31/2021,3075.0,3125.0,3163.0,3063.0,159160000.0,-2.77%
03/30/2021,3163.0,3200.0,3213.0,3138.0,41180000.0,-0.78%
03/29/2021,3188.0,3200.0,3250.0,3188.0,79520000.0,-0.78%
03/26/2021,3213.0,3225.0,3238.0,3175.0,84480000.0,0.39%
03/25/2021,3200.0,3225.0,3238.0,3163.0,71670000.0,-0.39%
03/24/2021,3213.0,3250.0,3263.0,3200.0,115250000.0,-3.75%
03/23/2021,3338.0,3375.0,3375.0,3313.0,97290000.0,0.75%
03/22/2021,3313.0,3375.0,3413.0,3313.0,115980000.0,-2.21%
03/19/2021,3388.0,3400.0,3400.0,3350.0,150710000.0,-0.37%
03/18/2021,3400.0,3313.0,3425.0,3313.0,152430000.0,4.21%
